"","Name","east","north","Tagessumme"
"1","Alstaette",360933,5777163,33.71
"2","Aue",452135,5655597,3.96
"3","AugustdorfKA2",480054,5750159,38.2
"4","BadOeynhausenKA",487803,5785235,58.1
"5","BalveKA",421715,5688433,15.22
"6","Baumberg",387145,5758169,69.3
"7","BergneustadtWiedenest",408385,5654260,3.92
"8","BielefeldStadtwerke",468613,5765087,12.07
"9","Bildchen",290818,5623592,6.38
"10","Birgden",292490,5655375,0.75
"11","Blankenheim",331797,5588270,5.85
"12","BocholtMussumKA",330276,5743426,10.87
"13","Bockeroth",375890,5621039,0.37
"14","Boke",467820,5730627,39.46
"15","BonnLessenich",362264,5621122,0.54
"16","BorchenKA2",480269,5724952,42.93
"17","BorkenKA",350672,5746752,22.29
"18","BornheimEichenkamp",359958,5626819,0.3
"19","BornheimMertenerHeide",352827,5626579,0.06
"20","BottropVestische",357931,5712899,4.9
"21","BrakelKA2",513080,5729065,27.79
"22","BreckerfeldHBWengeberg",392950,5678541,10.62
"23","Brenzingen",401442,5636061,0.37
"24","BrilonWasserwerk",470923,5694033,46.21
"25","Bueren2",468857,5710473,16.91
"26","Buke",496968,5731656,39.97
"27","Cobbenrode",441014,5671944,11.09
"28","CoesfeldKA",371716,5755484,32.15
"29","DattelSchleuse",386324,5725501,33.84
"30","DelbrueckSteinhorst",467853,5740940,30.49
"31","DetmoldKA",490498,5755114,19.98
"32","Diestedde",442830,5731927,19.7
"33","DorstenKA",357863,5726569,9.73
"34","DrensteinfurtKA",412612,5740104,68.6
"35","Drolshagen",413282,5653045,2.26
"36","Effeln",455429,5708577,45.8
"37","Eicherscheid",308357,5606535,5.58
"38","EitorfN",388654,5626006,0.26
"39","Elspetal",435169,5667076,5.11
"40","EmmerichN",311908,5745595,19.28
"41","EngerDreyen",467008,5777623,9.77
"42","Erndtebrueck",447448,5649140,1.89
"43","Erwitte",454316,5717694,32.21
"44","EschmarMuellekoven",367395,5626842,0.1
"45","EspelkampWWK",475724,5804266,15.69
"46","EssenHespertalN",363806,5692564,1.58
"47","EssenKettwigLUA",354805,5692430,2.08
"48","EssenPoertingsiepenN",364159,5695745,1.92
"49","Esterbach",319335,5586375,6.34
"50","FeldromTB",495764,5741422,7.64
"51","FreckenhorstKA",427823,5752975,17.47
"52","Freilingen",338324,5587284,2.65
"53","Freudenberg",421589,5640224,0.99
"54","Frielingsdorf",389249,5656137,1.51
"55","Gerderath",305597,5664170,0.31
"56","Geseke",464688,5720774,40.98
"57","GrevenKA",402250,5774650,20.32
"58","GronauKA",364389,5787846,22.61
"59","GueterslohWWK2",457854,5750809,59.95
"60","Haenscheid",389170,5632736,0.51
"61","HagenEugenRichterTurm",392434,5689439,14.75
"62","HagenHolthausen",398729,5689603,23.11
"63","HagenMaeckingerBach",394329,5686749,22.61
"64","HalverHagebuecherhoeh",396075,5669290,4.51
"65","HamminkelnN",334510,5734572,14.8
"66","HammMattenbeckeKA",418714,5727329,52.03
"67","Hanfmuehle",383303,5619038,0.64
"68","HattingenAmStade",370930,5698362,5.42
"69","HausForst",332301,5638934,0.78
"70","HeekNienborgKA",369069,5778246,24.7
"71","HeidenKA",357065,5743179,15.29
"72","Herbram",494089,5724469,68.3
"73","HerfordN",478550,5775122,9.72
"74","HerscheidWellin",414175,5673962,5.81
"75","Herzfeld",438518,5723988,33.64
"76","HiddenhausenKA",490498,5755114,12.16
"77","HoerstelN",404217,5796317,23.7
"78","HoexterFH",525470,5735073,8.7
"79","Holzhausen",439074,5621159,1.56
"80","HomburgBroel",396208,5641244,0.28
"81","IserlohnHennenKA",407507,5700243,5.21
"82","IserlohnKesbern",410013,5688575,8.52
"83","IserlohnWermingsen",411541,5692095,11.27
"84","Kaldenkirchen",304632,5689917,0
"85","KalletalNiedermeien",497049,5768862,9.55
"86","Kalterherberg",301144,5600831,4.93
"87","KierspeKA",403185,5666588,5.02
"88","Kleinenberg",497992,5714733,62.76
"89","Kleve",309697,5744491,17.7
"90","Kornelimuenster",300166,5623361,3.8
"91","KranenburgN",291968,5740508,0.07
"92","Krefeld",333128,5689571,0.45
"93","KreuztalKLG",428932,5645583,1.27
"94","Laggenbeck",417061,5792973,15.29
"95","Lahnhof1N",446737,5638368,4.28
"96","LangenbergSender",369891,5691025,4.54
"97","Lascheid",390937,5623581,0.4
"98","Lattenberg",443460,5695564,11.3
"99","LegdenKA",368850,5768228,43.81
"100","Lehmbach",373303,5643979,1
"101","LengerichKA",420080,5780628,23.5
"102","Lichtenau",493160,5718082,113.04
"103","LichtenauBlankenrodeStUA",493546,5710073,18.1
"104","LuedenscheidLoesenbach",401797,5674825,7.74
"105","Luetzel",442872,5646469,4.67
"106","MendenWWLendringsen",418802,5695867,5.15
"107","MettingenKA",417221,5799980,20.8
"108","MettmannPaul",357062,5679589,0
"109","MuelheimBhAB1N",352378,5699028,0.92
"110","MuensterHKA",407392,5762726,55.11
"111","NachrodtWiblingwerdeLohagen",403217,5684585,14.41
"112","Nassesand",490607,5744257,9.31
"113","NeuenradeAffeln",419975,5681111,10.07
"114","NeunkirchenSeelscheid",383809,5631754,0.52
"115","NevigesL107",369842,5685990,2.37
"116","NiederdielfenKLG",435216,5634999,3.8
"117","Niederkrüchten",306131,5675856,0
"118","NieheimKA",506539,5741728,9.3
"119","OchsenkopfDeponie",433112,5689974,3.82
"120","Oestertalsperre",415937,5668394,3.19
"121","OstbevernKA",419785,5765370,51.39
"122","Osterath",336169,5682075,1.9
"123","PaderbornP4",484188,5729525,79.74
"124","Peckelsheim",509589,5715679,12.26
"125","PlettenbergRKB1N",421049,5675711,6.33
"126","PulheimGeyen",345069,5650509,0
"127","RaesfeldKA",347798,5735507,46.23
"128","Raffelsbrand",310427,5616849,4.46
"129","RekenBhfRUEB",365971,5741134,19.1
"130","RemscheidLennep",379980,5672055,1.51
"131","RhedaN",452441,5745736,43.27
"132","RhedeKA",340542,5744383,15.61
"133","RietbergKA",459178,5740362,28.59
"134","Roenkhausen_N",429734,5675280,10.57
"135","Roetgen",301422,5614650,6.05
"136","Rosbach",401536,5629670,0.43
"137","RoteFurth",382230,5659591,2.2
"138","Ruenderoth",390525,5649566,2
"139","Ruhne",427453,5707515,8.65
"140","Rurberg_N",314354,5610210,4.32
"141","Schapdetten",391354,5754564,47.63
"142","SchermbeckDaemmerwaldN",345817,5734297,30.58
"143","Schlich",316194,5630758,0.4
"144","Simmerath",308553,5611848,5.46
"145","SolingenWald",363900,5672061,2.9
"146","SprockhoevelSchevenerStrasse",378911,5688192,8.22
"147","StArnoldLys",390177,5786488,38.72
"148","SteinheimKA",506755,5747810,8.38
"149","Suedkirchen",400007,5729788,41.6
"150","Suelze",379600,5653756,0.84
"151","Uckendorf",364189,5632047,0.12
"152","Versmold",442351,5762584,30.63
"153","Vormwald",438920,5649494,2.94
"154","VredenKA",347375,5769350,21.03
"155","WarsteinSteinbruch",454830,5698256,12.03
"156","Wegberg",309426,5670198,0
"157","WenholthausenN",441277,5681719,12.73
"158","Wetter_Hof_Sackern",383852,5692912,16.06
"159","Willebadessen",502396,5719671,26.41
"160","WittenGedern1",385813,5696548,14.69
"161","WittenSchnee",390242,5698975,10.76
"162","WuppertalNaechstebreck",377780,5685739,6.12
"163","Zweifall",307271,5621261,4.39
